model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
BlackBerry Pearl 3G 9100|||Released 2010, May|||93.6g, 13.3mm thickness|||BlackBerry OS|||256MB storage, microSDHC slot|||2.25"|||360x400 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1150|||mAh|||Li-Ion|||1|||Piano Black, Opal Pink, Royal Purple, Flash White, Red Gradient|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/bb-pearl-9100-new1.jpg
BlackBerry Q10|||Released 2013, April|||139g, 10.4mm thickness|||BlackBerry OS 10, up to 10.3.1|||16GB storage, microSDXC|||3.1"|||720x720 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4|||2100|||mAh|||Li-Ion|||1|||Black, White|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-q10.jpg
BlackBerry 7230|||Released 2003, Q3|||136g, 20mm thickness|||BlackBerry OS|||16MB 1MB RAM storage, no card slot|||2.6"|||240x160 pixels|||MISSING|||MISSING|||No video recorder|||1|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||MISSING|||16MB|||1MB|||https://fdn2.gsmarena.com/vv/bigpic/bb7230.gif
BlackBerry Evolve X|||Released 2018, August|||170g, 8.8mm thickness|||Android 8.1|||64GB storage, microSDXC|||5.99"|||1080x2160 pixels|||13|||MP|||1080p|||6|||GB RAM|||Snapdragon 660|||4000|||mAh|||Li-Ion|||2|||Black|||64GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg
BlackBerry Curve 8530|||Released 2009, December|||106g, 13.9mm thickness|||BlackBerry OS 5.0|||256MB ROM storage, microSDHC slot|||2.46"|||320x240 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1150|||mAh|||Li-Ion|||1|||Black, Purple|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8530.jpg
BlackBerry Curve 3G 9300|||Released 2010, August|||104g, 13.9mm thickness|||BlackBerry 5.0, up to 6.0|||256MB RAM storage, microSDHC slot|||2.46"|||320x240 pixels|||2|||MP|||Video recorder|||256|||MB RAM|||MISSING|||1150|||mAh|||Li-Ion|||1|||Black, Red|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-3g-9300.jpg
BlackBerry Curve 9320|||Released 2012, May|||103g, 12.7mm thickness|||BlackBerry OS 7.1|||512MB ROM storage, microSDHC slot|||2.44"|||320x240 pixels|||3|||MP|||Video recorder|||512|||MB RAM|||MISSING|||1450|||mAh|||Li-Ion|||1|||Black, White|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9320.jpg
BlackBerry Torch 9850|||Released 2011, August|||135g, 11.5mm thickness|||BlackBerry OS 7|||4GB 768MB RAM storage, microSDHC slot|||3.7"|||480x800 pixels|||5|||MP|||720p|||768|||MB RAM|||Snapdragon S2|||1230|||mAh|||Li-Ion|||1|||Black|||4GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Torch-9850.jpg
BlackBerry Curve Touch|||Released Not officially announced yet|||MISSING|||BlackBerry OS 6.1|||1GB ROM storage, microSDHC slot|||3.25"|||480x360 pixels|||5|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||MISSING|||MISSING|||Li-Ion|||1|||Black|||512MB,1GB|||MISSING|||MISSING
BlackBerry Pearl Flip 8220|||Released 2008, October|||102g, 17.5mm thickness|||BlackBerry OS|||75MB storage, microSDHC slot|||2.6"|||240x320 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black|||75MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-pearl-flip-8220-1.jpg
