model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Huawei Mate 30E Pro 5G|||Released 2020, November 01|||198g, 8.8mm thickness|||Android 10, EMUI 11, no Google Play Services|||128GB/256GB storage, NM|||6.53"|||1176x2400 pixels|||40|||MP|||2160p|||8|||GB RAM|||Kirin 990E 5G|||4500|||mAh|||Li-Po|||2|||Black, Space Silver, Cosmic Purple, Emerald Green, Orange, Forest Green|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mate30-pro-5g.jpg
Huawei Activa 4G|||Released 2012, June|||140g, 10.7mm thickness|||Android 2.3.6|||150MB 512MB RAM storage, microSDHC slot|||3.5"|||320x480 pixels|||5|||MP|||Video recorder|||512|||MB RAM|||MSM7627T|||1880|||mAh|||Li-Ion|||1|||Black|||150MB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-activa-4g.jpg
Huawei Watch GT|||Released 2018, November|||46g, 10.6mm thickness|||Proprietary OS|||128MB 16MB RAM storage, no card slot|||1.39"|||454x454 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||420|||mAh|||Li-Ion|||1|||Black Stainless Steel, Stainless Steel|||128MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt.jpg
Huawei MediaPad T1 10|||Released 2015, March|||433g, 8.3mm thickness|||Android 4.4.4, EMUI 3|||8GB/16GB storage, microSDHC|||9.6"|||800x1280 pixels|||5|||MP|||Video recorder|||1|||GB RAM|||Snapdragon 410|||4800|||mAh|||Li-Po|||1|||Black/Silver, White/Silver|||8GB,16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t1-10.jpg
Huawei Ascend G740|||Released 2013, November|||150g, 9.3mm thickness|||Android 4.1.2|||8GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon 400|||2400|||mAh|||Li-Ion|||1|||Black/White|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g740.jpg
Huawei Mate 10|||Released 2017, November|||186g, 8.2mm thickness|||Android 8.0, up to Android 10, EMUI 10.2|||64GB storage, microSDXC|||5.9"|||1440x2560 pixels|||20|||MP|||2160p|||4|||GB RAM|||Kirin 970|||4000|||mAh|||Li-Po|||2|||Mocha Brown, Black, Champagne Gold, Pink Gold|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mate10-.jpg
Huawei MediaPad T1 7.0 Plus|||Released 2016, April|||278g, 8.5mm thickness|||Android 4.4.2, EMUI 3|||16GB storage, microSDXC|||7.0"|||600x1024 pixels|||2|||MP|||480p|||2|||GB RAM|||Spreadtrum SC7731G|||4100|||mAh|||Li-Ion|||1|||Black/Silver|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t1-70.jpg
Huawei nova 8 5G|||Released 2021, January 05|||169g, 7.6mm thickness|||Android 10, EMUI 11, no Google Play Services|||128GB/256GB storage, no card slot|||6.57"|||1080x2340 pixels|||64|||MP|||2160p|||8|||GB RAM|||Kirin 985 5G|||3800|||mAh|||Li-Po|||2|||Black, Blue, Green, White|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-5g.jpg
Huawei Y6 (2017)|||Released 2017, July|||150g, 8.4mm thickness|||Android 6.0, EMUI 4.1|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||MT6737T|||3000|||mAh|||Li-Ion|||2|||White, Gold, Gray|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-y6-2017.jpg
Huawei Ascend D1|||Released 2012, July|||132g, 8.9mm thickness|||Android 4.0, up to 4.2|||8GB storage, microSDHC|||4.5"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||TI OMAP 4460|||1800|||mAh|||Li-Ion|||1|||Black|||1GB,8GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-d1.jpg
