model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
ZTE N880E|||Released 2012, May|||130g, 10.4mm thickness|||Android 2.3, 4.1.1, up to 4.2|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||3|||MP|||Video recorder|||512|||MB RAM|||Snapdragon S1|||1650|||mAh|||Li-Ion|||1|||Black|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/zte-n880e.jpg
ZTE N290|||Released 2010|||106g, 13mm thickness|||Feature phone|||20MB storage, microSDHC slot|||3.2"|||240x400 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1500|||mAh|||Li-Ion|||1|||Black|||20MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-n290.jpg
ZTE nubia Red Magic 5S|||Released 2020, August 01|||220g, 9.8mm thickness|||Android 10, Redmagic 3.0|||128GB/256GB storage, no card slot|||6.65"|||1080x2340 pixels|||64|||MP|||4320p|||8-16|||GB RAM|||Snapdragon 865 5G|||4500|||mAh|||Li-Po|||2|||Silver, Pulse|||128GB,256GB|||8GB,12GB,16GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-5s.jpg
ZTE Geek V975|||Released 2013, August|||148g, 9.5mm thickness|||Android 4.2.2|||8GB/16GB storage, microSDXC|||5.0"|||720x1280 pixels|||8|||MP|||Video recorder|||2|||GB RAM|||Intel Atom Z2580|||2300|||mAh|||Li-Ion|||1|||Black|||8GB,16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-geek.jpg
ZTE Grand Memo V9815|||Released 2013, March|||189g, 8.5mm thickness|||Android 4.1.2|||16GB storage, microSDHC|||5.7"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 800|||3200|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-grand-memo.jpg
ZTE nubia Z17|||Released 2017, June|||173g, 7.6mm thickness|||Android 7.1.1, nubia UI 5|||64GB/128GB storage, no card slot|||5.5"|||1080x1920 pixels|||23|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 835|||3200|||mAh|||Li-Po|||2|||Aurora Blue, Black Gold, Obsidian Black, Solar Gold, Flame Red|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z17-n.jpg
ZTE Warp Sequent|||Released 2012, September|||129.8g, 9.9mm thickness|||Android 4.0.4|||4GB storage, microSDHC slot|||4.3"|||540x960 pixels|||5|||MP|||720p|||768|||MB RAM|||Snapdragon S2|||1650|||mAh|||Li-Ion|||1|||Black|||768MB,4GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-warp-sequent.jpg
ZTE Blade Force|||Released 2017, October|||170.1g, 9.1mm thickness|||Android 7.1.1|||16GB storage, microSDXC|||5.5"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon 427|||3000|||mAh|||Li-Ion|||1|||Blue|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-force.jpg
ZTE Axon 10s Pro 5G|||Released 2020, February 06|||175g, 7.9mm thickness|||Android 10, MiFavor 10|||128GB/256GB storage, microSDXC|||6.47"|||1080x2340 pixels|||48|||MP|||2160p|||6/12|||GB RAM|||Snapdragon 865 5G|||4000|||mAh|||Li-Ion|||2|||Blue, Black|||128GB,256GB|||6GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-axon-10s-pro-5g-.jpg
ZTE nubia Z18 mini|||Released 2018, April|||153g, 7.6mm thickness|||Android 8.1, nubia UI|||64GB/128GB storage, no card slot|||5.7"|||1080x2160 pixels|||24|||MP|||2160p|||6|||GB RAM|||Snapdragon 660|||3450|||mAh|||Li-Po|||2|||Provence Edition, Ying Yu powder, Celadon blue, Diamond black, Glacier White|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z18-mini.jpg
