model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
LG G3 Stylus|||Released 2014, October|||163g, 10.2mm thickness|||Android 4.4.2|||8GB storage, microSDHC|||5.5"|||540x960 pixels|||13|||MP|||1080p|||1|||GB RAM|||MT6582|||3000|||mAh|||Li-Ion|||2|||Black, White, Gold|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-g3-stylus.jpg
LG GB160|||Released 2009, November|||67.5, 12.5mm thickness|||Feature phone|||2MB storage, no card slot|||1.5"|||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Black|||2MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gb160.jpg
LG L90 D405|||Released 2014, March|||126g, 9.7mm thickness|||Android 4.4.2|||8GB storage, microSDHC|||4.7"|||540x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon 400|||2540|||mAh|||Li-Ion|||1|||White, Black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-l90.jpg
LG Tribute Empire|||Released 2019, January|||140.1g, 8.1mm thickness|||Android 8.1|||16GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||MT6750|||2500|||mAh|||Li-Ion|||1|||White|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-tribute-empire.jpg
LG Folder 2|||Released 2020, April 17|||127g, 18mm thickness|||Feature phone|||8GB storage, microSDXC|||2.8"|||240x320 pixels|||2|||MP|||MISSING|||1|||GB RAM|||MISSING|||1470|||mAh|||Li-Ion|||1|||White, Platinum Gray|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-folder2.jpg
LG G7050|||Released 2003, Q4|||89g, 21mm thickness|||Feature phone|||350 KB storage, no card slot||| |||128x160 pixels, 6 lines|||0.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||760|||mAh|||Li-Ion|||1|||MISSING|||350KB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lgg7050.gif
LG A200|||Released 2011, Q3|||95g, 15.8mm thickness|||Feature phone|||64MB RAM storage, microSDHC slot|||2.2"|||176x220 pixels|||2|||MP|||144p|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black|||64MB,128MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-a200.jpg
LG Optimus 4X HD P880|||Released 2012, June|||133g, 8.9mm thickness|||Android 4.0, up to 4.1|||16GB storage, microSDXC|||4.7"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Nvidia Tegra 3|||2150|||mAh|||Li-Ion|||1|||Black, White|||1GB,16GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-optimus-4g-hd-ofic.jpg
LG GC900 Viewty Smart|||Released 2009, May|||102g, 12.4mm thickness|||Feature phone|||1.5GB storage, microSDHC slot|||3.0"|||480x800 pixels|||8|||MP|||480p|||MISSING|||MISSING|||MISSING|||1000|||mAh|||Li-Ion|||1|||Silver, Black|||1GB|||5GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-gc900-viewty.jpg
LG GB125|||Released 2009, July|||90g, 19.3mm thickness|||Feature phone|||Yes storage, no card slot|||1.5"|||128x128 pixels|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gb125.jpg
LG KG120|||Released 2006, October|||80g, 22mm thickness|||Feature phone|||500 KB storage, no card slot||| |||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||830|||mAh|||Li-Ion|||1|||Silver|||500KB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-kg120.gif
LG KM710|||Released 2008, July|||118g, 15.4mm thickness|||Feature phone|||15MB storage, microSD slot|||2.0"|||240x320 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||1|||White|||15MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-km710.jpg
LG S367|||Released 2011, December|||85g, 11.5mm thickness|||Feature phone|||15MB storage, miniSD slot|||2.4"|||240x320 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||2|||Black|||15MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-s367.jpg
LG G3 Screen|||Released 2014, December|||182g, 9.5mm thickness|||Android 4.4.4|||32GB storage, microSDXC|||5.9"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||LG Nuclun|||3000|||mAh|||Li-Ion|||1|||Black, White|||32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-g3-screen.jpg
LG KP199|||Released 2008|||84g, 15mm thickness|||Feature phone|||60MB storage, microSDHC slot|||1.77"|||128x160 pixels|||0.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1350|||mAh|||Li-Ion|||1|||Black|||60MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-kp199-new.jpg
LG GT550 Encore|||Released 2010, October|||104.9g, 12mm thickness|||Feature phone|||microSDHC slot|||3.0"|||240x400 pixels|||3|||MP|||240p|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gt550-encore.jpg
LG KS360|||Released 2008, July|||111.5g, 16.8mm thickness|||Feature phone|||64MB storage, microSDHC slot|||2.4"|||240x320 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||1|||Black and red, Black and silver, White and soft pink, Titanium and bright blue|||64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-ks360.jpg
LG GW990|||Cancelled|||12mm thickness|||MeeGo OS|||512MB RAM storage, microSDHC slot|||4.8"|||480x1024 pixels|||5|||MP|||Video recorder|||512|||MB RAM|||MISSING|||1850|||mAh|||Li-Ion|||1|||Grey|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gw990.jpg
LG GX F310L|||Released 2014, January|||167g, 9.2mm thickness|||Android 4.3|||32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 600|||3140|||mAh|||Li-Ion|||1|||Black, White|||32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-gx-f310l.jpg
LG Optimus Z|||Released  2010, July|||135g, 11mm thickness|||Android 2.1, up to 2.2|||microSDHC slot|||3.5"|||480x640 pixels|||5|||MP|||720p|||MISSING|||MISSING|||Snapdragon S1|||1350|||mAh|||Li-Ion|||1|||Black, White, Pink|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-su950.jpg
LG Optimus L3 E400|||Released 2012, February|||110g, 11.9mm thickness|||Android 2.3.6|||1GB 384MB RAM storage, microSDHC slot|||3.2"|||240x320 pixels|||3|||MP|||480p|||384|||MB RAM|||MISSING|||1500|||mAh|||Li-Ion|||1|||Black, White|||1GB|||384MB|||https://fdn2.gsmarena.com/vv/bigpic/LG-E400-Optimus-L3.jpg
LG Spirit|||Released 2015, March|||124.4g, 10mm thickness|||Android 5.0.1, up to 6.0.1|||8GB storage, microSDHC|||4.7"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon 410|||2100|||mAh|||Li-Ion|||2|||Titan, Gold, White|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-spirit1.jpg
