model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Nokia 6600i slide|||Released 2009, July|||110g, 14mm thickness|||Feature phone|||20MB storage, microSDHC slot|||2.2"|||240x320 pixels|||5|||MP|||480p|||MISSING|||MISSING|||MISSING|||1000|||mAh|||Li-Ion|||1|||Black, Silver|||20MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6600i-slide.jpg
Nokia 108 Dual SIM|||Released 2013, October|||70.2g, 13.5mm thickness|||Feature phone|||4MB RAM storage, microSDHC slot|||1.8"|||128x160 pixels|||0.3|||MP|||240p|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||2|||Black, White, Red, Blue, Yellow|||4MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-108-dual-sim.jpg
Nokia 9.3 PureView|||Cancelled|||MISSING|||Android 10, Android One|||128GB/256GB storage, no card slot|||6.7"|||1440x2880 pixels|||108|||MP|||4320p|||6/8|||GB RAM|||Snapdragon 865 5G|||5000|||mAh|||Li-Po|||2|||Blue, Black|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-93-pureview-r2.jpg
Nokia 6111|||Released 2005, June|||92g, 23mm thickness|||Feature phone|||23MB storage, no card slot|||1.8"|||128x160 pixels|||1|||MP|||144p|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||3 - Silver on Pearl White, Glossy Black on Silver, Dark|||23MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6111.gif
Nokia C5 5MP|||Released 2011, September|||95g, 12.3mm thickness|||Symbian 9.3, Series 60 rel. 3.2|||270MB 256MB RAM 512MB ROM storage, microSDHC slot|||2.2"|||240x320 pixels|||5|||MP|||480p|||256|||MB RAM|||MISSING|||1050|||mAh|||Li-Ion|||1|||White, Warm Grey, All Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-c5-00-5mp1.jpg
Nokia 6100|||Released 2002, Q4|||76g, 13.5mm thickness|||Feature phone|||725 KB storage, no card slot|||1.5"|||128x128 pixels, 8 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||760|||mAh|||Li-Ion|||1|||3 -  Dark blue, Light blue and Yellowish beige|||725KB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/no6100.gif
Nokia N92|||Released 2005, Q4|||191g, 24.8mm thickness|||Symbian, Series 60 UI|||40MB 64MB RAM storage, miniSD slot|||2.8"|||240x320 pixels|||2|||MP|||144p|||64|||MB RAM|||MISSING|||1500|||mAh|||Li-Po|||1|||MISSING|||40MB|||64MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-n92.gif
Nokia 702T|||Released 2011, Q3|||127g, 10mm thickness|||Symbian Anna OS|||8GB storage, microSDHC|||2.46"|||640x480 pixels|||8|||MP|||720p|||256|||MB RAM|||MISSING|||1200|||mAh|||Li-Ion|||1|||Black, White|||8GB|||256MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-702t.jpg
Nokia 6500|||Released 2002, Q1|||88g, 21mm thickness|||Feature phone|||No card slot||| |||96x60 pixels, 5 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||750|||mAh|||Li-Ion|||1|||Beige, four Xpress-on front-back covers as accessories|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/no6500.gif
Nokia 6260|||Released 2004, Q2|||125g, 23mm thickness|||Symbian 7.0s, Series 60 v2.0 UI|||6MB storage, RS-MMC slot|||2.1"|||176x208 pixels|||0.3|||MP|||Video recorder|||MISSING|||MISSING|||TI OMAP 1510|||760|||mAh|||Li-Ion|||1|||2 - Silver, Black|||6MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/no6260.gif
