model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
HTC Butterfly 3|||Released 2015, October|||161g, 10mm thickness|||Android 5.0, up to 6.0, Sence 7|||32GB storage, microSDXC|||5.2"|||1440x2560 pixels|||20|||MP|||2160p|||3|||GB RAM|||Snapdragon 810|||2700|||mAh|||Li-Ion|||1|||Blue, Red, White|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-butterfly-3.jpg
HTC One (M8) dual sim|||Released 2014, July|||160g, 9.4mm thickness|||Android 4.4.2, up to 4.4.4, Sense UI 6|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||5|||MP|||1080p|||2|||GB RAM|||Snapdragon 801|||2600|||mAh|||Li-Po|||2|||Gunmetal Gray, Glacial Silver, Amber Gold|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-m8.jpg
HTC Desire 526G+ dual sim |||Released 2015, January|||154g, 9.9mm thickness|||Android 4.4.2|||8GB/16GB storage, microSDHC|||4.7"|||540x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||MISSING|||2000|||mAh|||Li-Ion|||2|||MISSING|||8GB,16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-526Gplus-dual-sim.jpg
HTC Desire 10 Compact|||Released 2017, Q1|||148g, 7.5mm thickness|||Android 6.0|||32GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||3|||GB RAM|||MT6737T|||3300|||mAh|||Li-Ion|||2|||Polar White, Stone Black|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-10-compact.jpg
HTC P4350|||Released 2006, November|||168g, 17mm thickness|||Microsoft Windows Mobile 5.0 PocketPC|||64MB RAM storage, microSD slot|||2.8"|||240x320 pixels|||2|||MP|||144p|||64|||MB RAM|||TI OMAP 850|||1130|||mAh|||Li-Ion|||1|||Black|||64MB,128MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-p4350.gif
HTC Desire 12+|||Released 2018, June 07|||157.5g, 8.4mm thickness|||Android 8.0|||32GB storage, microSDXC|||6.0"|||720x1440 pixels|||13|||MP|||1080p|||3|||GB RAM|||Snapdragon 450|||2965|||mAh|||Li-Ion|||2|||Black, Silver, Gold|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12-plus.jpg
HTC Desire 620|||Released 2014, December|||160g, 9.6mm thickness|||Android 4.4.4, Sense UI|||8GB storage, microSDXC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon 410|||2100|||mAh|||Li-Po|||2|||Blue, Black, Gray, White|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-620.jpg
HTC HD2|||Released 2009, November|||157g, 11mm thickness|||Microsoft Windows Mobile 6.5 Professional|||448MB RAM storage, microSDHC slot|||4.3"|||480x800 pixels|||5|||MP|||480p|||448|||MB RAM|||Snapdragon S1|||1230|||mAh|||Li-Ion|||1|||Black|||448MB,512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-hd2-new.jpg
HTC Exodus 1s|||Released 2019, December|||150g, 8.3mm thickness|||Android 8.1|||64GB storage, no card slot|||5.7"|||720x1440 pixels|||13|||MP|||2160p|||4|||GB RAM|||Snapdragon 435|||3075|||mAh|||Li-Ion|||2|||Black|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1s-.jpg
HTC Primo|||Cancelled|||MISSING|||Android 4.0|||512MB RAM storage, microSDHC slot|||3.7"|||480x800 pixels|||5|||MP|||Video recorder|||512|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-primo.jpg
