model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Sony Xperia 1|||Released 2019, May 30|||178g, 8.2mm thickness|||Android 9.0, up to Android 11|||64GB/128GB storage, microSDXC|||6.5"|||1644x3840 pixels|||12|||MP|||2160p|||6|||GB RAM|||Snapdragon 855|||3330|||mAh|||Li-Ion|||2|||Black, Gray, Purple, White|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1.jpg
Sony Xperia C5 Ultra Dual|||Released 2015, August|||187g, 8.2mm thickness|||Android 5.0, up to 6.0|||16GB storage, microSDXC|||6.0"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||MT6752|||2930|||mAh|||Li-Ion|||2|||Black, White, Mint|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c5-ultra.jpg
Sony Xperia XZ2|||Released 2018, April 20|||198g, 11.1mm thickness|||Android 8.0, up to Android 10|||64GB storage, microSDXC|||5.7"|||1080x2160 pixels|||19|||MP|||2160p|||4/6|||GB RAM|||Snapdragon 845|||3180|||mAh|||Li-Ion|||2|||Liquid Black, Liquid Silver, Deep Green, Ash Pink|||64GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-.jpg
Sony CM-DX 2000|||Released 1997|||185g, 27mm thickness|||Feature phone|||No card slot||| |||97x33 pixels, 4x16 chars|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||1800|||mAh|||Li-Ion|||1|||MISSING|||MISSING|||MISSING|||MISSING
Sony CMD C1|||Released 1999|||107g, 26mm thickness|||Feature phone|||No card slot||| |||97x32 pixels, 4 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||500|||mAh|||Li-Ion|||1|||Several|||MISSING|||MISSING|||MISSING
Sony Xperia XA1 Ultra|||Released 2017, May|||188g, 8.1mm thickness|||Android 7.0, up to Android 8.0|||32GB/64GB storage, microSDXC|||6.0"|||1080x1920 pixels|||23|||MP|||1080p|||4|||GB RAM|||Helio P20|||2700|||mAh|||Li-Ion|||1|||White, Black, Gold, Pink|||32GB,64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-ultra-2017.jpg
Sony Xperia 1 III|||Released 2021, August 25|||186g / 187.1g (mmWave), 8.2mm thickness|||Android 11, up to Android 12|||256GB/512GB storage, microSDXC|||6.5"|||1644x3840 pixels|||12|||MP|||2160p|||12|||GB RAM|||Snapdragon 888 5G|||4500|||mAh|||Li-Po|||2|||Frosted Black, Frosted Gray, Frosted Purple|||256GB,512GB|||12GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iii.jpg
Sony Xperia 5 II|||Released 2020, October 12|||163g, 8mm thickness|||Android 10, planned upgrade to Android 11|||128GB/256GB storage, microSDXC|||6.1"|||1080x2520 pixels|||12|||MP|||2160p|||8|||GB RAM|||Snapdragon 865 5G|||4000|||mAh|||Li-Ion|||2|||Black, Grey, Blue, Pink|||128GB,256GB|||8GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-ii-5g-r.jpg
Sony Xperia E3 Dual|||Released 2014, September|||143.8g, 8.5mm thickness|||Android 4.4.2, up to Android 4.4.4|||4GB 1GB RAM storage, microSDHC slot|||4.5"|||480x854 pixels|||5|||MP|||1080p|||1|||GB RAM|||Snapdragon 400|||2330|||mAh|||Li-Ion|||2|||Black, White, Yellow, Copper|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e3-dual.jpg
Sony Xperia R1 (Plus)|||Released 2017, November|||154g, 8.9mm thickness|||Android 7.1|||16GB/32GB storage, microSDXC|||5.2"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||Snapdragon 430|||2620|||mAh|||Li-Ion|||2|||Black, Silver|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-r1.jpg
